Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 1) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,,,,,,,,,,
ADA1010,4,Adafruit Industries,1010,https://octopart.com/1010-adafruit+industries-32978107,Colorful 12Mm Square Tactile Button Switch Assortment - 15 Pack,"Buy as a single set of 10 to get 4 buttons, or buy for 653-B3F-4050 (mouser), 12mmx12mm tactile switches",,,,2w,Non-Compliant,4,1528-2151-ND,485-1010,53W5647,,,Bulk,,,,,5.95,5.95,5.95,,,20,39,0,,,1,1,1,,,https://octopart.com/opatz8j6/a1?t=hEHwX-5Ae2m6nFPX48pZ3WQos6JLvp3k4zy2LiKv-xlFBQIbD4Ls1zY6bBfcRt2buQZ1-p-0N9We-GYvPoc8e8RFfFaJpRjveW0YusDS0k7NG7dQVztBoRdwCSGe2hMN6iDGtQmNHB3n3cSQI__ysE6OZfSuR6ugHjbOcZqiGI_h_WPrneB0CWG3tSzvkSzuIyAPHicORIYfaf6zJfdRMvGXh0yo76E2JaxNv3ARswkkob0nLye85PlevgDHa1OJImEw,https://octopart.com/opatz8j6/a1?t=AysTmlb1mxxcoaozyqGxeVv5ks_DR6PAxj4pmqUvF7mFnddyx5RfV4mlYBMDvGMpWpyn2-_uXZiB3ZCN1F9J0f8enQd8xz73E_sdJXSwn48Ap-vvt2F_wWr3wx9T3GX2a6iCMtG-t4Gl5r1I2yMIEJsZFdme2VBEAMa-7SAh9RLLTNBHZPtRNF3Uy2jfx6490pU3mqlUI3p54sZfQNi_jOwKoud1m0yGOyKxlsMJCJ8JL0yBHnRMIgRyXe4lQt_3C82WEg,https://octopart.com/opatz8j6/a1?t=iqFTqeIvs9urdw7cc33Ksd3sNUAntnLPXicfTE2sXpLe-F3Z8qYQ9vRw7aebdJludg4wYzwvy-UsA2bSVm2AWH2teXfQyKym3JhhNnO2yH8XRkH_8QxS7AHArCeIXM_0wWdPSi0DAiIE1EWuqt0caLl-XKD3dKQSxhdjqcixxUuQWYrsLXANPOsnJOqMUKnSlhbN5LwFZhnk4MqMH4Bn5NAKraabXNtJjZXkzEdLVkY8SRzEq65sTSdmgXpSGLO_xRdX,,,Mouser,485-1010,,5.95,23.8,23.8,39,1,https://octopart.com/opatz8j6/a1?t=AysTmlb1mxxcoaozyqGxeVv5ks_DR6PAxj4pmqUvF7mFnddyx5RfV4mlYBMDvGMpWpyn2-_uXZiB3ZCN1F9J0f8enQd8xz73E_sdJXSwn48Ap-vvt2F_wWr3wx9T3GX2a6iCMtG-t4Gl5r1I2yMIEJsZFdme2VBEAMa-7SAh9RLLTNBHZPtRNF3Uy2jfx6490pU3mqlUI3p54sZfQNi_jOwKoud1m0yGOyKxlsMJCJ8JL0yBHnRMIgRyXe4lQt_3C82WEg,
ADA3145,1,Adafruit Industries,C4846,https://octopart.com/c4846-adafruit+industries-128533651,Small Single Row Wire Housing Pack for DIY Jumper Cables,"you need (qty, header) [(1,1x5), (2,1x2),(1,1x3),(2,1x1),(2,1x4)]",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1x5 wire housing,1,,,,,"from the ADA3145 pack which will cover all quantity needed, but listing all just in case you need to check inventory
",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1x2 wire housing,2,,,,,"from the ADA3145 pack which will cover all quantity needed, but listing all just in case you need to check inventory
",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1x3 wire housing,1,,,,,"from the ADA3145 pack which will cover all quantity needed, but listing all just in case you need to check inventory
",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1x1 wire housing,2,,,,,"from the ADA3145 pack which will cover all quantity needed, but listing all just in case you need to check inventory
",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4x4 wire housting,2,,,,,"from the ADA3145 pack which will cover all quantity needed, but listing all just in case you need to check inventory
",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADA4864,1,Raspberry Pi,ADA4864,https://octopart.com/ada4864-raspberry+pi-116090675,Raspberry Pi Pico RP2040,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADA1270,1,Adafruit Industries,1270,https://octopart.com/1270-adafruit+industries-32978309,Adafruit 1.2 4-Digit 7-Segment Display W/i2C Backpack - Red Rohs Compliant: Yes,"Feel free to choose a different color, but the backpack is essential, and the 1.2"" display is great",,,,2w,Compliant,1,1528-1876-ND,485-1270,89W0287,,,Bulk,,,,,17.5,17.5,17.5,,,26,79,0,,,1,1,1,,,https://octopart.com/opatz8j6/a1?t=ZJJacqQjKrzSUYfPsdaoFaHBd02nDlQv1XJG_TvFBWx_Jg1veIKXDisXGUQQLQLjHEA-EEVFBdHpem8x-Wnvpxh3apALJT74p0uah9o4UxNXpJV0xCiIqUr0f6Z6SY1N7qptsJKrNLiCKH3wXpgvJ_SNslkfK6WcIz8xLV9hkLUFeuvjBB9YMespREcHGbAqJdF2v83y9LZGE4avQ5ZYUN2Lhp2xbUYq4OCeJ_NYtbydSfdWPVnh3Vem6fQYB30x9rMH,https://octopart.com/opatz8j6/a1?t=_ETjoWEjho7QlNCRi9HYbZqdFvoLeAWyyxs6d7BTOw2J5JOxxyDcJusRPh9IuYfB6jABNNny6993HenEnSU-GklBdLXMRSU-zXkV17iC9BMewpQX3fuibGjj7g1ZBFASXv7Fqm0vOQ3jSwtrOQvCWnbgDXFU11mnWK6TsGl4_nCnYtBeiOPY9Y59FGzPqhZIeh3GkwBNJUhBNA2_SL3dAITZxsDrOUW4_66PIn60JGO8qhoJvaWLGCdotfWkGMcmd4tFqA,https://octopart.com/opatz8j6/a1?t=PBQ7yRuJJrIZdywscakJV3u60HCQvY_ajajoiU_QBN80zZ81xUeGiJBGN4EWsYFOPY86VCNf1NKO9lwBTJ-6EKpXi8tYvauNCsJDp8dw734vvcnPWc7A69lVLLb5di8DsIa7JRvSogJbVNzwEXx0XKauxgp-fM0fIAAnYDON5u_BsGRUi42fdD-hmRjCYTm0bWqn51kJSFNymkNgnCGV56FjP9Dxenh35d7_XqSmXiNYN2LipCjZgK01JEgB3_ucW6Cg,,,Mouser,485-1270,,17.5,17.5,17.5,79,1,https://octopart.com/opatz8j6/a1?t=_ETjoWEjho7QlNCRi9HYbZqdFvoLeAWyyxs6d7BTOw2J5JOxxyDcJusRPh9IuYfB6jABNNny6993HenEnSU-GklBdLXMRSU-zXkV17iC9BMewpQX3fuibGjj7g1ZBFASXv7Fqm0vOQ3jSwtrOQvCWnbgDXFU11mnWK6TsGl4_nCnYtBeiOPY9Y59FGzPqhZIeh3GkwBNJUhBNA2_SL3dAITZxsDrOUW4_66PIn60JGO8qhoJvaWLGCdotfWkGMcmd4tFqA,
